"","Longitude","Latitude"
"1",-118.26088,33.69937
"2",-81.24806,24.32302
"3",-80.2285,25.05163
"4",-81.42889,24.28604
"5",-81.42889,24.28604
"6",-81.42889,24.28604
"7",-81.42889,24.28604
"8",-81.24806,24.32302
"9",-81.24806,24.32302
"10",-81.42889,24.28604
"11",-81.42889,24.28604
"12",-81.42889,24.28604
"13",-81.42889,24.28604
"14",151.22307,-34.1836
"15",-96.494995,15.663889
"16",-177.90325,-29.25075
"17",-177.95269,-29.28238
"18",151.9229,-23.26282
"19",151.91197,-23.44736
"20",113.616,-22.65555
"21",166.327028,-22.266639
"22",166.411167,-22.326639
"23",166.411167,-22.326639
"24",-79.96,27.83
"25",-79.96,27.83
"26",-79.96,27.83
"27",-79.96,27.83
"28",152.565,-32.21016
"29",152.56832,-32.21083
"30",152.56832,-32.21083
"31",152.56832,-32.21083
"32",152.53833,-32.18633
"33",152.483,-32.216
"34",152.565,-32.21016
"35",152.56832,-32.21083
"36",152.56832,-32.21083
"37",152.56832,-32.21083
"38",153.08833,-30.91133
"39",153.09949,-30.94099
"40",153.08833,-30.91138
"41",153.08833,-30.91133
"42",153.08833,-30.91133
"43",153.07566,-30.94949
"44",153.08833,-30.91133
"45",153.08833,-30.91138
"46",153.09949,-30.94099
"47",153.07566,-30.94949
"48",153.09949,-30.94099
"49",34.956185,29.548293
"50",-88.081859,16.804122
"51",122.07854,-0.46094
"52",122.00305,-0.44883
"53",122.43544,-0.43769
"54",124.05375,0.35855
"55",-45.86492,-24.12728
"56",151.21166,-33.96999
"57",-149.833,-17.5
"58",-149.833,-17.5
"59",-119.683333,34.4
"60",-140.166,-15
"61",-140.166,-15
"62",145.82832,-5.14166
"63",159.13666,-29.43499
"64",159.04666,-29.91333
"65",159.10333,-29.49166
"66",159.07832,-29.93833
"67",159.07832,-29.96333
"68",159.13499,-29.48499
"69",159.08499,-29.966
"70",159.01999,-29.95333
"71",159.06166,-29.45666
"72",-88.075,16.7794
"73",-88.08,16.8
"74",145.466,-14.7
"75",145.466,-14.7
"76",145.466,-14.7
"77",145.466,-14.7
"78",-83.0344,25.2864
"79",-83.7197,25.2817
"80",145.466,-14.7
"81",145.466,-14.7
"82",145.466,-14.7
"83",145.466,-14.7
"84",145.466,-14.7
"85",145.466,-14.7
"86",145.466,-14.7
"87",-90.1628,29.0472
"88",-90.1628,29.0472
"89",144.5,-14.166
"90",139.5,34.08
"91",145.45,-14.666
"92",145.45,-14.666
"93",145.45,-14.666
"94",145.45,-14.666
"95",145.466,-14.666
"96",145.466,-14.666
"97",145.466,-14.666
"98",145.466,-14.666
"99",145.466,-14.666
"100",145.466,-14.666
"101",-88.0818,16.8032
"102",145.45,-14.666
"103",145.45,-14.666
"104",145.45,-14.666
"105",145.466,-14.666
"106",145.466,-14.666
"107",145.45,-14.666
"108",145.45,-14.666
"109",145.45,-14.666
"110",145.466,-14.666
"111",-119.15,32.7
"112",-118.8,33.479167
"113",-118.8,33.479167
"114",-119.024722,33.478333
"115",152.316,-32.616
"116",152.316,-32.616
"117",152.083,-23.5
"118",172.95,1.833
"119",152.083,-23.5
"120",152.083,-23.5
"121",152.083,-23.5
"122",43.48,-23.4
"123",43.48,-23.4
"124",43.48,-23.4
"125",43.48,-23.4
"126",43.48,-23.4
"127",43.48,-23.4
"128",45.867,-18.367
"129",152.083,-23.5
"130",152.083,-23.5
"131",152.083,-23.5
"132",152.083,-23.5
"133",152.083,-23.5
"134",152.083,-23.5
"135",152.083,-23.5
"136",43.48,-23.4
"137",-51.83,-34.43
"138",153.366,-29.783
"139",153.283,-29.816
"140",153.15,-30.316
"141",152.083,-23.5
"142",152.083,-23.5
"143",152.083,-23.5
"144",152.083,-23.5
"145",43.48,-23.4
"146",43.48,-23.4
"147",43.48,-23.4
"148",43.48,-23.4
"149",43.48,-23.4
"150",43.48,-23.4
"151",43.48,-23.4
"152",43.48,-23.4
"153",43.48,-23.4
"154",48.24,-13.56
"155",-119.096944,33.101111
"156",-120.929167,35.429167
"157",-117.83804,33.51306
"158",-117.83804,33.51306
"159",-121.9,36.62
"160",-121.9,36.62
"161",-97.535835,15.968611
"162",171.401,54.4192
"163",-30,56
"164",55.53241,-21.13317
"165",-120.375833,34.425833
"166",-113.583333,31.333333
"167",-109.916667,22.883333
"168",-123.048,38.333
"169",-120.016667,33.9
"170",45.14743,-12.8206
"171",-149.833,-17.5
"172",-113.333333,31.583333
"173",-149.833,-17.5
"174",-120.85,35.333333
"175",55.53241,-21.13317
"176",55.53241,-21.13317
"177",45.14743,-12.8206
"178",45.14743,-12.8206
"179",-79.95,27.82
"180",-96.3316,38.8208
"181",-78.0728,24.7216
"182",-96.3316,38.8208
"183",35,-6
"184",-80.32561,27.44671
